Team,Down,Distance Bucket,Play Type,2022 %,2023 %,2024 %,2022→2023 Change,2023→2024 Change
DET,4,medium,Run,0.0%,18.2%,33.3%,18.2 %,15.2 %
DET,4,short,Pass,62.1%,64.3%,44.0%,2.2 %,-20.3 %
DET,4,short,Run,37.9%,35.7%,56.0%,-2.2 %,20.3 %
DET,4,very long,Pass,nan%,100.0%,100.0%,nan %,0.0 %
DET,4,very long,Run,nan%,0.0%,0.0%,nan %,0.0 %
GB,1,long,Pass,46.0%,49.4%,37.9%,3.4 %,-11.5 %
GB,1,long,Run,54.0%,50.6%,62.1%,-3.4 %,11.5 %
GB,1,medium,Pass,45.5%,18.2%,19.0%,-27.3 %,0.9 %
GB,1,medium,Run,54.5%,81.8%,81.0%,27.3 %,-0.9 %
GB,1,short,Pass,25.0%,12.5%,14.3%,-12.5 %,1.8 %
GB,1,short,Run,75.0%,87.5%,85.7%,12.5 %,-1.8 %
GB,1,very long,Pass,76.5%,80.0%,63.0%,3.5 %,-17.0 %
GB,1,very long,Run,23.5%,20.0%,37.0%,-3.5 %,17.0 %
GB,2,long,Pass,64.1%,65.0%,55.9%,0.8 %,-9.1 %
GB,2,long,Run,35.9%,35.0%,44.1%,-0.8 %,9.1 %
GB,2,medium,Pass,49.6%,49.3%,45.3%,-0.3 %,-4.0 %
GB,2,medium,Run,50.4%,50.7%,54.7%,0.3 %,4.0 %
GB,2,short,Pass,47.8%,37.5%,31.9%,-10.3 %,-5.6 %
GB,2,short,Run,52.2%,62.5%,68.1%,10.3 %,5.6 %
GB,2,very long,Pass,84.6%,76.1%,87.0%,-8.5 %,11.0 %
GB,2,very long,Run,15.4%,23.9%,13.0%,8.5 %,-11.0 %
GB,3,long,Pass,90.5%,91.3%,84.8%,0.8 %,-6.5 %
GB,3,long,Run,9.5%,8.7%,15.2%,-0.8 %,6.5 %
GB,3,medium,Pass,89.4%,96.3%,88.2%,6.9 %,-8.1 %
GB,3,medium,Run,10.6%,3.7%,11.8%,-6.9 %,8.1 %
GB,3,short,Pass,53.7%,44.4%,46.0%,-9.3 %,1.6 %
GB,3,short,Run,46.3%,55.6%,54.0%,9.3 %,-1.6 %
GB,3,very long,Pass,91.3%,83.8%,90.6%,-7.5 %,6.8 %
GB,3,very long,Run,8.7%,16.2%,9.4%,7.5 %,-6.8 %
GB,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
GB,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
GB,4,medium,Pass,100.0%,66.7%,50.0%,-33.3 %,-16.7 %
GB,4,medium,Run,0.0%,33.3%,50.0%,33.3 %,16.7 %
GB,4,short,Pass,56.0%,72.2%,35.7%,16.2 %,-36.5 %
GB,4,short,Run,44.0%,27.8%,64.3%,-16.2 %,36.5 %
GB,4,very long,Pass,100.0%,50.0%,nan%,-50.0 %,nan %
GB,4,very long,Run,0.0%,50.0%,nan%,50.0 %,nan %
HOU,1,long,Pass,53.6%,47.0%,48.7%,-6.5 %,1.7 %
HOU,1,long,Run,46.4%,53.0%,51.3%,6.5 %,-1.7 %
HOU,1,medium,Pass,36.4%,20.0%,22.2%,-16.4 %,2.2 %
HOU,1,medium,Run,63.6%,80.0%,77.8%,16.4 %,-2.2 %
HOU,1,short,Pass,33.3%,25.0%,25.0%,-8.3 %,0.0 %
HOU,1,short,Run,66.7%,75.0%,75.0%,8.3 %,0.0 %
HOU,1,very long,Pass,66.7%,36.4%,61.9%,-30.3 %,25.5 %
HOU,1,very long,Run,33.3%,63.6%,38.1%,30.3 %,-25.5 %
HOU,2,long,Pass,64.8%,65.2%,57.5%,0.4 %,-7.7 %
HOU,2,long,Run,35.2%,34.8%,42.5%,-0.4 %,7.7 %
HOU,2,medium,Pass,54.5%,59.0%,49.5%,4.4 %,-9.4 %
HOU,2,medium,Run,45.5%,41.0%,50.5%,-4.4 %,9.4 %
HOU,2,short,Pass,51.9%,41.9%,42.3%,-10.0 %,0.4 %
HOU,2,short,Run,48.1%,58.1%,57.7%,10.0 %,-0.4 %
HOU,2,very long,Pass,74.4%,77.6%,77.6%,3.2 %,0.0 %
HOU,2,very long,Run,25.6%,22.4%,22.4%,-3.2 %,0.0 %
HOU,3,long,Pass,98.4%,89.8%,86.2%,-8.6 %,-3.6 %
HOU,3,long,Run,1.6%,10.2%,13.8%,8.6 %,3.6 %
HOU,3,medium,Pass,90.3%,92.8%,94.5%,2.4 %,1.8 %
HOU,3,medium,Run,9.7%,7.2%,5.5%,-2.4 %,-1.8 %
HOU,3,short,Pass,35.6%,60.0%,65.7%,24.4 %,5.7 %
HOU,3,short,Run,64.4%,40.0%,34.3%,-24.4 %,-5.7 %
HOU,3,very long,Pass,83.8%,89.5%,85.7%,5.7 %,-3.8 %
HOU,3,very long,Run,16.2%,10.5%,14.3%,-5.7 %,3.8 %
HOU,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
HOU,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
HOU,4,medium,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
HOU,4,medium,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
HOU,4,short,Pass,35.7%,46.7%,52.9%,11.0 %,6.3 %
HOU,4,short,Run,64.3%,53.3%,47.1%,-11.0 %,-6.3 %
HOU,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
HOU,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
IND,1,long,Pass,48.2%,44.3%,44.0%,-3.9 %,-0.3 %
IND,1,long,Run,51.8%,55.7%,56.0%,3.9 %,0.3 %
IND,1,medium,Pass,33.3%,41.2%,33.3%,7.8 %,-7.8 %
IND,1,medium,Run,66.7%,58.8%,66.7%,-7.8 %,7.8 %
IND,1,short,Pass,14.3%,14.3%,0.0%,0.0 %,-14.3 %
IND,1,short,Run,85.7%,85.7%,100.0%,0.0 %,14.3 %
IND,1,very long,Pass,81.2%,87.5%,70.6%,6.2 %,-16.9 %
IND,1,very long,Run,18.8%,12.5%,29.4%,-6.2 %,16.9 %
IND,2,long,Pass,70.3%,75.5%,74.1%,5.2 %,-1.4 %
IND,2,long,Run,29.7%,24.5%,25.9%,-5.2 %,1.4 %
IND,2,medium,Pass,59.3%,49.2%,38.6%,-10.1 %,-10.5 %
IND,2,medium,Run,40.7%,50.8%,61.4%,10.1 %,10.5 %
IND,2,short,Pass,32.6%,30.6%,19.6%,-2.0 %,-11.0 %
IND,2,short,Run,67.4%,69.4%,80.4%,2.0 %,11.0 %
IND,2,very long,Pass,80.4%,84.4%,85.7%,4.1 %,1.3 %
IND,2,very long,Run,19.6%,15.6%,14.3%,-4.1 %,-1.3 %
IND,3,long,Pass,97.4%,94.0%,75.4%,-3.4 %,-18.6 %
IND,3,long,Run,2.6%,6.0%,24.6%,3.4 %,18.6 %
IND,3,medium,Pass,90.4%,78.7%,80.0%,-11.7 %,1.3 %
IND,3,medium,Run,9.6%,21.3%,20.0%,11.7 %,-1.3 %
IND,3,short,Pass,53.6%,36.1%,35.4%,-17.5 %,-0.7 %
IND,3,short,Run,46.4%,63.9%,64.6%,17.5 %,0.7 %
IND,3,very long,Pass,89.2%,82.4%,74.2%,-6.8 %,-8.2 %
IND,3,very long,Run,10.8%,17.6%,25.8%,6.8 %,8.2 %
IND,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
IND,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
IND,4,medium,Pass,100.0%,88.9%,100.0%,-11.1 %,11.1 %
IND,4,medium,Run,0.0%,11.1%,0.0%,11.1 %,-11.1 %
IND,4,short,Pass,44.4%,68.4%,47.4%,24.0 %,-21.1 %
IND,4,short,Run,55.6%,31.6%,52.6%,-24.0 %,21.1 %
IND,4,very long,Pass,100.0%,100.0%,50.0%,0.0 %,-50.0 %
IND,4,very long,Run,0.0%,0.0%,50.0%,0.0 %,50.0 %
JAX,1,long,Pass,48.3%,48.2%,46.0%,-0.2 %,-2.1 %
JAX,1,long,Run,51.7%,51.8%,54.0%,0.2 %,2.1 %
JAX,1,medium,Pass,30.0%,54.5%,57.1%,24.5 %,2.6 %
JAX,1,medium,Run,70.0%,45.5%,42.9%,-24.5 %,-2.6 %
JAX,1,short,Pass,14.3%,16.7%,20.0%,2.4 %,3.3 %
JAX,1,short,Run,85.7%,83.3%,80.0%,-2.4 %,-3.3 %
JAX,1,very long,Pass,90.5%,82.4%,66.7%,-8.1 %,-15.7 %
JAX,1,very long,Run,9.5%,17.6%,33.3%,8.1 %,15.7 %
JAX,2,long,Pass,75.4%,74.8%,78.3%,-0.6 %,3.5 %
JAX,2,long,Run,24.6%,25.2%,21.7%,0.6 %,-3.5 %
JAX,2,medium,Pass,55.6%,54.3%,58.4%,-1.2 %,4.1 %
JAX,2,medium,Run,44.4%,45.7%,41.6%,1.2 %,-4.1 %
JAX,2,short,Pass,37.9%,46.6%,31.8%,8.7 %,-14.7 %
JAX,2,short,Run,62.1%,53.4%,68.2%,-8.7 %,14.7 %
JAX,2,very long,Pass,86.8%,85.2%,82.0%,-1.6 %,-3.2 %
JAX,2,very long,Run,13.2%,14.8%,18.0%,1.6 %,3.2 %
JAX,3,long,Pass,88.5%,88.1%,88.9%,-0.4 %,0.8 %
JAX,3,long,Run,11.5%,11.9%,11.1%,0.4 %,-0.8 %
JAX,3,medium,Pass,87.5%,82.9%,90.5%,-4.6 %,7.5 %
JAX,3,medium,Run,12.5%,17.1%,9.5%,4.6 %,-7.5 %
JAX,3,short,Pass,51.4%,58.0%,39.0%,6.6 %,-19.0 %
JAX,3,short,Run,48.6%,42.0%,61.0%,-6.6 %,19.0 %
JAX,3,very long,Pass,87.1%,83.9%,83.8%,-3.2 %,-0.1 %
JAX,3,very long,Run,12.9%,16.1%,16.2%,3.2 %,0.1 %
JAX,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
JAX,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
JAX,4,medium,Pass,83.3%,60.0%,100.0%,-23.3 %,40.0 %
JAX,4,medium,Run,16.7%,40.0%,0.0%,23.3 %,-40.0 %
JAX,4,short,Pass,47.6%,50.0%,23.5%,2.4 %,-26.5 %
JAX,4,short,Run,52.4%,50.0%,76.5%,-2.4 %,26.5 %
JAX,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
JAX,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
KC,1,long,Pass,52.5%,51.5%,50.4%,-1.0 %,-1.1 %
KC,1,long,Run,47.5%,48.5%,49.6%,1.0 %,1.1 %
KC,1,medium,Pass,60.0%,52.6%,38.5%,-7.4 %,-14.2 %
KC,1,medium,Run,40.0%,47.4%,61.5%,7.4 %,14.2 %
KC,1,short,Pass,42.1%,33.3%,21.4%,-8.8 %,-11.9 %
KC,1,short,Run,57.9%,66.7%,78.6%,8.8 %,11.9 %
KC,1,very long,Pass,100.0%,68.8%,82.4%,-31.2 %,13.6 %
KC,1,very long,Run,0.0%,31.2%,17.6%,31.2 %,-13.6 %
KC,2,long,Pass,76.9%,72.9%,69.0%,-3.9 %,-3.9 %
KC,2,long,Run,23.1%,27.1%,31.0%,3.9 %,3.9 %
KC,2,medium,Pass,70.9%,59.9%,61.4%,-11.1 %,1.5 %
KC,2,medium,Run,29.1%,40.1%,38.6%,11.1 %,-1.5 %
KC,2,short,Pass,39.1%,35.1%,44.7%,-4.0 %,9.6 %
KC,2,short,Run,60.9%,64.9%,55.3%,4.0 %,-9.6 %
KC,2,very long,Pass,66.7%,80.0%,82.7%,13.3 %,2.7 %
KC,2,very long,Run,33.3%,20.0%,17.3%,-13.3 %,-2.7 %
KC,3,long,Pass,83.7%,91.1%,90.0%,7.4 %,-1.1 %
KC,3,long,Run,16.3%,8.9%,10.0%,-7.4 %,1.1 %
KC,3,medium,Pass,87.8%,89.5%,87.2%,1.6 %,-2.3 %
KC,3,medium,Run,12.2%,10.5%,12.8%,-1.6 %,2.3 %
KC,3,short,Pass,63.7%,60.4%,54.2%,-3.3 %,-6.2 %
KC,3,short,Run,36.2%,39.6%,45.8%,3.3 %,6.2 %
KC,3,very long,Pass,82.1%,87.8%,81.8%,5.6 %,-5.9 %
KC,3,very long,Run,17.9%,12.2%,18.2%,-5.6 %,5.9 %
KC,4,long,Pass,nan%,100.0%,nan%,nan %,nan %
KC,4,long,Run,nan%,0.0%,nan%,nan %,nan %
KC,4,medium,Pass,100.0%,60.0%,100.0%,-40.0 %,40.0 %
KC,4,medium,Run,0.0%,40.0%,0.0%,40.0 %,-40.0 %
KC,4,short,Pass,63.6%,38.5%,18.8%,-25.2 %,-19.7 %
KC,4,short,Run,36.4%,61.5%,81.2%,25.2 %,19.7 %
KC,4,very long,Pass,100.0%,100.0%,50.0%,0.0 %,-50.0 %
KC,4,very long,Run,0.0%,0.0%,50.0%,0.0 %,50.0 %
LA,1,long,Pass,50.1%,46.3%,54.2%,-3.8 %,7.9 %
LA,1,long,Run,49.9%,53.7%,45.8%,3.8 %,-7.9 %
LA,1,medium,Pass,40.0%,40.0%,27.8%,0.0 %,-12.2 %
LA,1,medium,Run,60.0%,60.0%,72.2%,0.0 %,12.2 %
LA,1,short,Pass,28.6%,10.0%,16.7%,-18.6 %,6.7 %
LA,1,short,Run,71.4%,90.0%,83.3%,18.6 %,-6.7 %
LA,1,very long,Pass,41.7%,52.9%,46.2%,11.3 %,-6.8 %
LA,1,very long,Run,58.3%,47.1%,53.8%,-11.3 %,6.8 %
LA,2,long,Pass,72.3%,70.2%,67.9%,-2.2 %,-2.3 %
LA,2,long,Run,27.7%,29.8%,32.1%,2.2 %,2.3 %
LA,2,medium,Pass,63.0%,57.0%,56.4%,-5.9 %,-0.6 %
LA,2,medium,Run,37.0%,43.0%,43.6%,5.9 %,0.6 %
LA,2,short,Pass,51.1%,37.1%,37.8%,-14.0 %,0.7 %
LA,2,short,Run,48.9%,62.9%,62.2%,14.0 %,-0.7 %
LA,2,very long,Pass,62.5%,73.6%,61.4%,11.1 %,-12.2 %
LA,2,very long,Run,37.5%,26.4%,38.6%,-11.1 %,12.2 %
LA,3,long,Pass,81.6%,90.7%,92.5%,9.2 %,1.8 %
LA,3,long,Run,18.4%,9.3%,7.5%,-9.2 %,-1.8 %
LA,3,medium,Pass,82.8%,87.7%,89.5%,4.9 %,1.8 %
LA,3,medium,Run,17.2%,12.3%,10.5%,-4.9 %,-1.8 %
LA,3,short,Pass,55.2%,51.5%,51.4%,-3.7 %,-0.1 %
LA,3,short,Run,44.8%,48.5%,48.6%,3.7 %,0.1 %
LA,3,very long,Pass,76.9%,76.3%,70.6%,-0.6 %,-5.7 %
LA,3,very long,Run,23.1%,23.7%,29.4%,0.6 %,5.7 %
LA,4,long,Pass,100.0%,nan%,nan%,nan %,nan %
LA,4,long,Run,0.0%,nan%,nan%,nan %,nan %
LA,4,medium,Pass,66.7%,100.0%,87.5%,33.3 %,-12.5 %
LA,4,medium,Run,33.3%,0.0%,12.5%,-33.3 %,12.5 %
LA,4,short,Pass,30.8%,61.1%,35.3%,30.3 %,-25.8 %
LA,4,short,Run,69.2%,38.9%,64.7%,-30.3 %,25.8 %
LA,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
LA,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
LAC,1,long,Pass,53.5%,51.7%,44.2%,-1.8 %,-7.5 %
LAC,1,long,Run,46.5%,48.3%,55.8%,1.8 %,7.5 %
LAC,1,medium,Pass,25.0%,42.9%,30.8%,17.9 %,-12.1 %
LAC,1,medium,Run,75.0%,57.1%,69.2%,-17.9 %,12.1 %
LAC,1,short,Pass,54.5%,50.0%,16.7%,-4.5 %,-33.3 %
LAC,1,short,Run,45.5%,50.0%,83.3%,4.5 %,33.3 %
LAC,1,very long,Pass,83.3%,82.4%,72.7%,-1.0 %,-9.6 %
LAC,1,very long,Run,16.7%,17.6%,27.3%,1.0 %,9.6 %
LAC,2,long,Pass,80.7%,69.9%,80.3%,-10.8 %,10.5 %
LAC,2,long,Run,19.3%,30.1%,19.7%,10.8 %,-10.5 %
LAC,2,medium,Pass,62.7%,56.9%,56.5%,-5.8 %,-0.4 %
LAC,2,medium,Run,37.3%,43.1%,43.5%,5.8 %,0.4 %
LAC,2,short,Pass,56.9%,36.7%,21.2%,-20.2 %,-15.5 %
LAC,2,short,Run,43.1%,63.3%,78.8%,20.2 %,15.5 %
LAC,2,very long,Pass,88.1%,87.2%,81.8%,-0.8 %,-5.4 %
LAC,2,very long,Run,11.9%,12.8%,18.2%,0.8 %,5.4 %
LAC,3,long,Pass,93.8%,87.5%,86.8%,-6.2 %,-0.7 %
LAC,3,long,Run,6.2%,12.5%,13.2%,6.2 %,0.7 %
LAC,3,medium,Pass,91.7%,88.6%,95.5%,-3.1 %,6.9 %
LAC,3,medium,Run,8.3%,11.4%,4.5%,3.1 %,-6.9 %
LAC,3,short,Pass,49.5%,54.5%,18.2%,5.1 %,-36.4 %
LAC,3,short,Run,50.5%,45.5%,81.8%,-5.1 %,36.4 %
LAC,3,very long,Pass,100.0%,90.6%,73.8%,-9.4 %,-16.8 %
LAC,3,very long,Run,0.0%,9.4%,26.2%,9.4 %,16.8 %
LAC,4,long,Pass,100.0%,100.0%,50.0%,0.0 %,-50.0 %
LAC,4,long,Run,0.0%,0.0%,50.0%,0.0 %,50.0 %
LAC,4,medium,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
LAC,4,medium,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
LAC,4,short,Pass,57.1%,47.6%,50.0%,-9.5 %,2.4 %
LAC,4,short,Run,42.9%,52.4%,50.0%,9.5 %,-2.4 %
LAC,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
LAC,4,very long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
LV,1,long,Pass,46.2%,51.8%,60.7%,5.5 %,8.9 %
LV,1,long,Run,53.8%,48.2%,39.3%,-5.5 %,-8.9 %
LV,1,medium,Pass,35.3%,12.5%,58.3%,-22.8 %,45.8 %
LV,1,medium,Run,64.7%,87.5%,41.7%,22.8 %,-45.8 %
LV,1,short,Pass,37.5%,25.0%,33.3%,-12.5 %,8.3 %
LV,1,short,Run,62.5%,75.0%,66.7%,12.5 %,-8.3 %
LV,1,very long,Pass,80.8%,64.3%,52.6%,-16.5 %,-11.7 %
LV,1,very long,Run,19.2%,35.7%,47.4%,16.5 %,11.7 %
LV,2,long,Pass,75.5%,68.6%,65.2%,-6.8 %,-3.4 %
LV,2,long,Run,24.5%,31.4%,34.8%,6.8 %,3.4 %
LV,2,medium,Pass,56.9%,50.4%,64.6%,-6.5 %,14.2 %
LV,2,medium,Run,43.1%,49.6%,35.4%,6.5 %,-14.2 %
LV,2,short,Pass,20.7%,27.1%,44.2%,6.4 %,17.1 %
LV,2,short,Run,79.3%,72.9%,55.8%,-6.4 %,-17.1 %
LV,2,very long,Pass,85.7%,85.4%,72.7%,-0.3 %,-12.7 %
LV,2,very long,Run,14.3%,14.6%,27.3%,0.3 %,12.7 %
LV,3,long,Pass,97.4%,91.2%,93.9%,-6.3 %,2.7 %
LV,3,long,Run,2.6%,8.8%,6.1%,6.3 %,-2.7 %
LV,3,medium,Pass,86.5%,89.7%,87.5%,3.2 %,-2.2 %
LV,3,medium,Run,13.5%,10.3%,12.5%,-3.2 %,2.2 %
LV,3,short,Pass,51.8%,50.8%,51.9%,-1.0 %,1.1 %
LV,3,short,Run,48.2%,49.2%,48.1%,1.0 %,-1.1 %
LV,3,very long,Pass,95.0%,100.0%,71.8%,5.0 %,-28.2 %
LV,3,very long,Run,5.0%,0.0%,28.2%,-5.0 %,28.2 %
LV,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
LV,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
LV,4,medium,Pass,100.0%,80.0%,100.0%,-20.0 %,20.0 %
LV,4,medium,Run,0.0%,20.0%,0.0%,20.0 %,-20.0 %
LV,4,short,Pass,50.0%,46.2%,53.3%,-3.8 %,7.2 %
LV,4,short,Run,50.0%,53.8%,46.7%,3.8 %,-7.2 %
LV,4,very long,Pass,66.7%,100.0%,100.0%,33.3 %,0.0 %
LV,4,very long,Run,33.3%,0.0%,0.0%,-33.3 %,0.0 %
MIA,1,long,Pass,49.2%,43.1%,46.0%,-6.1 %,2.8 %
MIA,1,long,Run,50.8%,56.9%,54.0%,6.1 %,-2.8 %
MIA,1,medium,Pass,50.0%,36.8%,23.5%,-13.2 %,-13.3 %
MIA,1,medium,Run,50.0%,63.2%,76.5%,13.2 %,13.3 %
MIA,1,short,Pass,12.5%,26.7%,25.0%,14.2 %,-1.7 %
MIA,1,short,Run,87.5%,73.3%,75.0%,-14.2 %,1.7 %
MIA,1,very long,Pass,91.7%,81.0%,80.0%,-10.7 %,-1.0 %
MIA,1,very long,Run,8.3%,19.0%,20.0%,10.7 %,1.0 %
MIA,2,long,Pass,74.0%,67.2%,71.3%,-6.8 %,4.1 %
MIA,2,long,Run,26.0%,32.8%,28.7%,6.8 %,-4.1 %
MIA,2,medium,Pass,59.2%,55.4%,52.0%,-3.8 %,-3.4 %
MIA,2,medium,Run,40.8%,44.6%,48.0%,3.8 %,3.4 %
MIA,2,short,Pass,39.3%,50.0%,52.5%,10.7 %,2.5 %
MIA,2,short,Run,60.7%,50.0%,47.5%,-10.7 %,-2.5 %
MIA,2,very long,Pass,84.9%,75.5%,79.1%,-9.4 %,3.6 %
MIA,2,very long,Run,15.1%,24.5%,20.9%,9.4 %,-3.6 %
MIA,3,long,Pass,93.3%,95.0%,90.7%,1.7 %,-4.3 %
MIA,3,long,Run,6.7%,5.0%,9.3%,-1.7 %,4.3 %
MIA,3,medium,Pass,94.4%,90.9%,92.0%,-3.5 %,1.1 %
MIA,3,medium,Run,5.6%,9.1%,8.0%,3.5 %,-1.1 %
MIA,3,short,Pass,67.8%,68.3%,52.2%,0.5 %,-16.2 %
MIA,3,short,Run,32.2%,31.7%,47.8%,-0.5 %,16.2 %
MIA,3,very long,Pass,98.0%,93.3%,83.3%,-4.7 %,-10.0 %
MIA,3,very long,Run,2.0%,6.7%,16.7%,4.7 %,10.0 %
MIA,4,long,Pass,100.0%,75.0%,66.7%,-25.0 %,-8.3 %
MIA,4,long,Run,0.0%,25.0%,33.3%,25.0 %,8.3 %
MIA,4,medium,Pass,90.0%,77.8%,75.0%,-12.2 %,-2.8 %
MIA,4,medium,Run,10.0%,22.2%,25.0%,12.2 %,2.8 %
MIA,4,short,Pass,28.6%,57.1%,76.5%,28.6 %,19.3 %
MIA,4,short,Run,71.4%,42.9%,23.5%,-28.6 %,-19.3 %
MIA,4,very long,Pass,100.0%,66.7%,66.7%,-33.3 %,0.0 %
MIA,4,very long,Run,0.0%,33.3%,33.3%,33.3 %,0.0 %
MIN,1,long,Pass,52.8%,51.8%,42.3%,-1.0 %,-9.5 %
MIN,1,long,Run,47.2%,48.2%,57.7%,1.0 %,9.5 %
MIN,1,medium,Pass,45.0%,73.3%,42.1%,28.3 %,-31.2 %
MIN,1,medium,Run,55.0%,26.7%,57.9%,-28.3 %,31.2 %
MIN,1,short,Pass,43.8%,20.0%,25.0%,-23.8 %,5.0 %
MIN,1,short,Run,56.2%,80.0%,75.0%,23.8 %,-5.0 %
MIN,1,very long,Pass,100.0%,73.7%,66.7%,-26.3 %,-7.0 %
MIN,1,very long,Run,0.0%,26.3%,33.3%,26.3 %,7.0 %
MIN,2,long,Pass,68.7%,63.4%,68.4%,-5.2 %,5.0 %
MIN,2,long,Run,31.3%,36.6%,31.6%,5.2 %,-5.0 %
MIN,2,medium,Pass,65.9%,65.0%,61.0%,-0.8 %,-4.0 %
MIN,2,medium,Run,34.1%,35.0%,39.0%,0.8 %,4.0 %
MIN,2,short,Pass,46.9%,45.2%,39.1%,-1.7 %,-6.1 %
MIN,2,short,Run,53.1%,54.8%,60.9%,1.7 %,6.1 %
MIN,2,very long,Pass,87.3%,85.5%,86.2%,-1.8 %,0.7 %
MIN,2,very long,Run,12.7%,14.5%,13.8%,1.8 %,-0.7 %
MIN,3,long,Pass,93.5%,88.9%,90.5%,-4.6 %,1.6 %
MIN,3,long,Run,6.5%,11.1%,9.5%,4.6 %,-1.6 %
MIN,3,medium,Pass,88.4%,90.7%,94.1%,2.3 %,3.5 %
MIN,3,medium,Run,11.6%,9.3%,5.9%,-2.3 %,-3.5 %
MIN,3,short,Pass,74.0%,71.4%,63.3%,-2.5 %,-8.1 %
MIN,3,short,Run,26.0%,28.6%,36.7%,2.5 %,8.1 %
MIN,3,very long,Pass,93.8%,83.0%,93.5%,-10.8 %,10.5 %
MIN,3,very long,Run,6.2%,17.0%,6.5%,10.8 %,-10.5 %
MIN,4,long,Pass,100.0%,nan%,nan%,nan %,nan %
MIN,4,long,Run,0.0%,nan%,nan%,nan %,nan %
MIN,4,medium,Pass,100.0%,70.0%,100.0%,-30.0 %,30.0 %
MIN,4,medium,Run,0.0%,30.0%,0.0%,30.0 %,-30.0 %
MIN,4,short,Pass,71.4%,62.5%,61.5%,-8.9 %,-1.0 %
MIN,4,short,Run,28.6%,37.5%,38.5%,8.9 %,1.0 %
MIN,4,very long,Pass,50.0%,100.0%,100.0%,50.0 %,0.0 %
MIN,4,very long,Run,50.0%,0.0%,0.0%,-50.0 %,0.0 %
NE,1,long,Pass,48.6%,51.4%,42.4%,2.8 %,-8.9 %
NE,1,long,Run,51.4%,48.6%,57.6%,-2.8 %,8.9 %
NE,1,medium,Pass,42.9%,0.0%,54.5%,-42.9 %,54.5 %
NE,1,medium,Run,57.1%,100.0%,45.5%,42.9 %,-54.5 %
NE,1,short,Pass,14.3%,60.0%,28.6%,45.7 %,-31.4 %
NE,1,short,Run,85.7%,40.0%,71.4%,-45.7 %,31.4 %
NE,1,very long,Pass,61.9%,66.7%,60.0%,4.8 %,-6.7 %
NE,1,very long,Run,38.1%,33.3%,40.0%,-4.8 %,6.7 %
NE,2,long,Pass,74.4%,68.6%,64.8%,-5.8 %,-3.8 %
NE,2,long,Run,25.6%,31.4%,35.2%,5.8 %,3.8 %
NE,2,medium,Pass,54.4%,52.8%,52.7%,-1.6 %,-0.1 %
NE,2,medium,Run,45.6%,47.2%,47.3%,1.6 %,0.1 %
NE,2,short,Pass,33.3%,25.4%,42.9%,-7.9 %,17.5 %
NE,2,short,Run,66.7%,74.6%,57.1%,7.9 %,-17.5 %
NE,2,very long,Pass,70.4%,75.5%,79.6%,5.1 %,4.1 %
NE,2,very long,Run,29.6%,24.5%,20.4%,-5.1 %,-4.1 %
NE,3,long,Pass,79.5%,88.6%,92.0%,9.1 %,3.4 %
NE,3,long,Run,20.5%,11.4%,8.0%,-9.1 %,-3.4 %
NE,3,medium,Pass,79.1%,94.7%,92.9%,15.6 %,-1.8 %
NE,3,medium,Run,20.9%,5.3%,7.1%,-15.6 %,1.8 %
NE,3,short,Pass,55.2%,46.7%,53.1%,-8.5 %,6.5 %
NE,3,short,Run,44.8%,53.3%,46.9%,8.5 %,-6.5 %
NE,3,very long,Pass,84.8%,83.7%,90.9%,-1.1 %,7.2 %
NE,3,very long,Run,15.2%,16.3%,9.1%,1.1 %,-7.2 %
NE,4,long,Pass,nan%,100.0%,50.0%,nan %,-50.0 %
NE,4,long,Run,nan%,0.0%,50.0%,nan %,50.0 %
NE,4,medium,Pass,100.0%,85.7%,80.0%,-14.3 %,-5.7 %
NE,4,medium,Run,0.0%,14.3%,20.0%,14.3 %,5.7 %
NE,4,short,Pass,90.0%,53.8%,35.7%,-36.2 %,-18.1 %
NE,4,short,Run,10.0%,46.2%,64.3%,36.2 %,18.1 %
NE,4,very long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
