Team,Down,Distance Bucket,Play Type,2022 %,2023 %,2024 %,2022→2023 Change,2023→2024 Change
BAL,1,short,Run,60.0%,90.9%,81.8%,30.9 %,-9.1 %
BAL,1,very long,Pass,72.2%,54.2%,57.1%,-18.1 %,3.0 %
BAL,1,very long,Run,27.8%,45.8%,42.9%,18.1 %,-3.0 %
BAL,2,long,Pass,68.5%,64.4%,56.8%,-4.0 %,-7.7 %
BAL,2,long,Run,31.5%,35.6%,43.2%,4.0 %,7.7 %
BAL,2,medium,Pass,49.2%,43.8%,38.7%,-5.3 %,-5.1 %
BAL,2,medium,Run,50.8%,56.2%,61.3%,5.3 %,5.1 %
BAL,2,short,Pass,11.5%,30.9%,24.6%,19.3 %,-6.3 %
BAL,2,short,Run,88.5%,69.1%,75.4%,-19.3 %,6.3 %
BAL,2,very long,Pass,74.1%,69.1%,63.8%,-5.0 %,-5.3 %
BAL,2,very long,Run,25.9%,30.9%,36.2%,5.0 %,5.3 %
BAL,3,long,Pass,79.2%,97.4%,93.0%,18.1 %,-4.3 %
BAL,3,long,Run,20.8%,2.6%,7.0%,-18.1 %,4.3 %
BAL,3,medium,Pass,82.6%,84.9%,85.7%,2.3 %,0.8 %
BAL,3,medium,Run,17.4%,15.1%,14.3%,-2.3 %,-0.8 %
BAL,3,short,Pass,15.7%,27.3%,14.9%,11.6 %,-12.3 %
BAL,3,short,Run,84.3%,72.7%,85.1%,-11.6 %,12.3 %
BAL,3,very long,Pass,82.4%,66.7%,92.7%,-15.7 %,26.0 %
BAL,3,very long,Run,17.6%,33.3%,7.3%,15.7 %,-26.0 %
BAL,4,long,Pass,100.0%,nan%,75.0%,nan %,nan %
BAL,4,long,Run,0.0%,nan%,25.0%,nan %,nan %
BAL,4,medium,Pass,100.0%,100.0%,nan%,0.0 %,nan %
BAL,4,medium,Run,0.0%,0.0%,nan%,0.0 %,nan %
BAL,4,short,Pass,15.8%,21.4%,33.3%,5.6 %,11.9 %
BAL,4,short,Run,84.2%,78.6%,66.7%,-5.6 %,-11.9 %
BAL,4,very long,Pass,100.0%,100.0%,nan%,0.0 %,nan %
BAL,4,very long,Run,0.0%,0.0%,nan%,0.0 %,nan %
BUF,1,long,Pass,56.0%,47.7%,40.1%,-8.2 %,-7.6 %
BUF,1,long,Run,44.0%,52.3%,59.9%,8.2 %,7.6 %
BUF,1,medium,Pass,47.4%,23.1%,39.1%,-24.3 %,16.1 %
BUF,1,medium,Run,52.6%,76.9%,60.9%,24.3 %,-16.1 %
BUF,1,short,Pass,20.0%,7.7%,6.7%,-12.3 %,-1.0 %
BUF,1,short,Run,80.0%,92.3%,93.3%,12.3 %,1.0 %
BUF,1,very long,Pass,66.7%,82.4%,55.6%,15.7 %,-26.8 %
BUF,1,very long,Run,33.3%,17.6%,44.4%,-15.7 %,26.8 %
BUF,2,long,Pass,64.0%,73.5%,72.7%,9.5 %,-0.8 %
BUF,2,long,Run,36.0%,26.5%,27.3%,-9.5 %,0.8 %
BUF,2,medium,Pass,56.8%,51.9%,47.6%,-4.8 %,-4.3 %
BUF,2,medium,Run,43.2%,48.1%,52.4%,4.8 %,4.3 %
BUF,2,short,Pass,50.0%,25.0%,22.2%,-25.0 %,-2.8 %
BUF,2,short,Run,50.0%,75.0%,77.8%,25.0 %,2.8 %
BUF,2,very long,Pass,75.0%,84.6%,75.0%,9.6 %,-9.6 %
BUF,2,very long,Run,25.0%,15.4%,25.0%,-9.6 %,9.6 %
BUF,3,long,Pass,88.0%,85.5%,89.1%,-2.5 %,3.6 %
BUF,3,long,Run,12.0%,14.5%,10.9%,2.5 %,-3.6 %
BUF,3,medium,Pass,75.8%,82.4%,90.5%,6.6 %,8.0 %
BUF,3,medium,Run,24.2%,17.6%,9.5%,-6.6 %,-8.0 %
BUF,3,short,Pass,52.0%,29.6%,38.8%,-22.4 %,9.2 %
BUF,3,short,Run,48.0%,70.4%,61.2%,22.4 %,-9.2 %
BUF,3,very long,Pass,83.3%,79.4%,88.2%,-3.9 %,8.8 %
BUF,3,very long,Run,16.7%,20.6%,11.8%,3.9 %,-8.8 %
BUF,4,long,Pass,nan%,nan%,100.0%,nan %,nan %
BUF,4,long,Run,nan%,nan%,0.0%,nan %,nan %
BUF,4,medium,Pass,100.0%,0.0%,80.0%,-100.0 %,80.0 %
BUF,4,medium,Run,0.0%,100.0%,20.0%,100.0 %,-80.0 %
BUF,4,short,Pass,64.3%,57.9%,36.0%,-6.4 %,-21.9 %
BUF,4,short,Run,35.7%,42.1%,64.0%,6.4 %,21.9 %
BUF,4,very long,Pass,100.0%,nan%,nan%,nan %,nan %
BUF,4,very long,Run,0.0%,nan%,nan%,nan %,nan %
CAR,1,long,Pass,46.6%,50.4%,46.7%,3.7 %,-3.7 %
CAR,1,long,Run,53.4%,49.6%,53.3%,-3.7 %,3.7 %
CAR,1,medium,Pass,25.0%,28.6%,41.7%,3.6 %,13.1 %
CAR,1,medium,Run,75.0%,71.4%,58.3%,-3.6 %,-13.1 %
CAR,1,short,Pass,80.0%,25.0%,30.0%,-55.0 %,5.0 %
CAR,1,short,Run,20.0%,75.0%,70.0%,55.0 %,-5.0 %
CAR,1,very long,Pass,46.2%,70.0%,72.7%,23.8 %,2.7 %
CAR,1,very long,Run,53.8%,30.0%,27.3%,-23.8 %,-2.7 %
CAR,2,long,Pass,52.3%,66.2%,69.7%,13.8 %,3.5 %
CAR,2,long,Run,47.7%,33.8%,30.3%,-13.8 %,-3.5 %
CAR,2,medium,Pass,47.9%,43.9%,55.7%,-4.1 %,11.8 %
CAR,2,medium,Run,52.1%,56.1%,44.3%,4.1 %,-11.8 %
CAR,2,short,Pass,25.5%,39.3%,36.2%,13.8 %,-3.1 %
CAR,2,short,Run,74.5%,60.7%,63.8%,-13.8 %,3.1 %
CAR,2,very long,Pass,51.0%,84.0%,80.6%,33.0 %,-3.4 %
CAR,2,very long,Run,49.0%,16.0%,19.4%,-33.0 %,3.4 %
CAR,3,long,Pass,81.8%,91.3%,93.9%,9.5 %,2.6 %
CAR,3,long,Run,18.2%,8.7%,6.1%,-9.5 %,-2.6 %
CAR,3,medium,Pass,74.3%,83.3%,84.9%,9.0 %,1.6 %
CAR,3,medium,Run,25.7%,16.7%,15.1%,-9.0 %,-1.6 %
CAR,3,short,Pass,29.4%,49.3%,54.5%,19.9 %,5.2 %
CAR,3,short,Run,70.6%,50.7%,45.5%,-19.9 %,-5.2 %
CAR,3,very long,Pass,78.4%,93.6%,85.3%,15.2 %,-8.3 %
CAR,3,very long,Run,21.6%,6.4%,14.7%,-15.2 %,8.3 %
CAR,4,long,Pass,100.0%,100.0%,100.0%,0.0 %,0.0 %
CAR,4,long,Run,0.0%,0.0%,0.0%,0.0 %,0.0 %
CAR,4,medium,Pass,100.0%,90.9%,100.0%,-9.1 %,9.1 %
CAR,4,medium,Run,0.0%,9.1%,0.0%,9.1 %,-9.1 %
CAR,4,short,Pass,25.0%,51.9%,63.2%,26.9 %,11.3 %
CAR,4,short,Run,75.0%,48.1%,36.8%,-26.9 %,-11.3 %
CAR,4,very long,Pass,100.0%,66.7%,100.0%,-33.3 %,33.3 %
CAR,4,very long,Run,0.0%,33.3%,0.0%,33.3 %,-33.3 %
CHI,1,long,Pass,41.4%,45.5%,49.3%,4.1 %,3.8 %
