posteam,down,distance_bucket,play_type,n_plays_2022,n_plays_2023,n_plays_2024,Success Rate %_2022,Success Rate %_2023,Success Rate %_2024,Success Rate %_2022→2023 Δ,Success Rate %_2023→2024 Δ,Conversion %_2022,Conversion %_2023,Conversion %_2024,Conversion %_2022→2023 Δ,Conversion %_2023→2024 Δ
ATL,2,very long,run,12.0,16.0,7.0,41.67,37.5,14.29,-4.2,-23.2,0.0,0.0,0.0,0.0,0.0
ATL,3,long,pass,36.0,46.0,35.0,19.439999999999998,32.61,37.14,13.2,4.5,19.439999999999998,32.61,31.430000000000003,13.2,-1.2
ATL,3,long,run,6.0,9.0,2.0,33.33,44.440000000000005,0.0,11.1,-44.4,33.33,44.440000000000005,0.0,11.1,-44.4
ATL,3,medium,pass,45.0,59.0,62.0,48.89,49.15,45.16,0.3,-4.0,48.89,47.46,45.16,-1.4,-2.3
ATL,3,medium,run,10.0,14.0,4.0,50.0,42.86,75.0,-7.1,32.1,50.0,42.86,50.0,-7.1,7.1
ATL,3,short,pass,17.0,23.0,23.0,58.81999999999999,47.83,52.17,-11.0,4.3,58.81999999999999,47.83,52.17,-11.0,4.3
ATL,3,short,run,46.0,38.0,39.0,69.57,57.89,61.53999999999999,-11.7,3.6,69.57,57.89,64.1,-11.7,6.2
ATL,3,very long,pass,29.0,33.0,37.0,20.69,30.3,29.73,9.6,-0.6,6.9,12.120000000000001,10.81,5.2,-1.3
ATL,3,very long,run,4.0,3.0,5.0,75.0,33.33,40.0,-41.7,6.7,50.0,0.0,0.0,-50.0,0.0
ATL,4,long,pass,1.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,
ATL,4,medium,pass,3.0,3.0,9.0,33.33,33.33,44.440000000000005,0.0,11.1,33.33,33.33,44.440000000000005,0.0,11.1
ATL,4,medium,run,,1.0,,,100.0,,,,,100.0,,,
ATL,4,short,pass,4.0,6.0,10.0,50.0,33.33,90.0,-16.7,56.7,50.0,33.33,90.0,-16.7,56.7
ATL,4,short,run,8.0,7.0,8.0,62.5,57.14,75.0,-5.4,17.9,62.5,57.14,75.0,-5.4,17.9
ATL,4,very long,pass,1.0,1.0,4.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,50.0
ATL,4,very long,run,1.0,,,0.0,,,,,100.0,,,,
BAL,1,long,pass,191.0,213.0,192.0,47.64,52.580000000000005,48.44,4.9,-4.1,0.0,0.0,0.0,0.0,0.0
BAL,1,long,run,255.0,270.0,303.0,41.57,38.519999999999996,45.540000000000006,-3.1,7.0,0.0,0.0,0.0,0.0,0.0
BAL,1,medium,pass,5.0,3.0,2.0,60.0,33.33,50.0,-26.7,16.7,0.0,0.0,0.0,0.0,0.0
BAL,1,medium,run,10.0,14.0,9.0,70.0,64.29,55.559999999999995,-5.7,-8.7,0.0,0.0,0.0,0.0,0.0
BAL,1,short,pass,4.0,1.0,2.0,25.0,0.0,100.0,-25.0,100.0,0.0,0.0,0.0,0.0,0.0
BAL,1,short,run,6.0,10.0,9.0,66.67,50.0,44.440000000000005,-16.7,-5.6,0.0,0.0,0.0,0.0,0.0
BAL,1,very long,pass,13.0,13.0,16.0,46.150000000000006,46.150000000000006,62.5,0.0,16.3,0.0,0.0,0.0,0.0,0.0
BAL,1,very long,run,5.0,11.0,12.0,80.0,36.36,33.33,-43.6,-3.0,0.0,0.0,0.0,0.0,0.0
BAL,2,long,pass,89.0,87.0,84.0,38.2,51.72,57.14,13.5,5.4,0.0,0.0,0.0,0.0,0.0
BAL,2,long,run,41.0,48.0,64.0,43.9,37.5,35.94,-6.4,-1.6,0.0,0.0,0.0,0.0,0.0
BAL,2,medium,pass,59.0,64.0,48.0,49.15,46.88,64.58,-2.3,17.7,0.0,0.0,0.0,0.0,0.0
BAL,2,medium,run,61.0,82.0,76.0,47.54,48.78,50.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0
BAL,2,short,pass,6.0,21.0,14.0,50.0,57.14,71.43,7.1,14.3,0.0,0.0,0.0,0.0,0.0
BAL,2,short,run,46.0,47.0,43.0,58.699999999999996,72.34,67.44,13.6,-4.9,0.0,0.0,0.0,0.0,0.0
BAL,2,very long,pass,40.0,38.0,37.0,42.5,36.84,54.05,-5.7,17.2,0.0,0.0,0.0,0.0,0.0
BAL,2,very long,run,14.0,17.0,21.0,50.0,47.06,33.33,-2.9,-13.7,0.0,0.0,0.0,0.0,0.0
BAL,3,long,pass,42.0,37.0,40.0,30.95,29.73,37.5,-1.2,7.8,28.57,24.32,37.5,-4.2,13.2
BAL,3,long,run,11.0,1.0,3.0,27.27,0.0,66.67,-27.3,66.7,36.36,0.0,66.67,-36.4,66.7
BAL,3,medium,pass,57.0,73.0,54.0,43.86,45.21,55.559999999999995,1.4,10.3,42.11,45.21,55.559999999999995,3.1,10.3
BAL,3,medium,run,12.0,13.0,9.0,25.0,38.46,22.220000000000002,13.5,-16.2,25.0,30.769999999999996,22.220000000000002,5.8,-8.5
BAL,3,short,pass,11.0,18.0,10.0,54.55,44.440000000000005,80.0,-10.1,35.6,54.55,44.440000000000005,80.0,-10.1,35.6
